"Country or Area","Year","Value","Value Footnotes"
"Albania","2017","2.46",""
"Argentina","2018","-1.62",""
"Argentina","2017","","2"
"Armenia","2018","1.26",""
"Armenia","2017","","3"
"Austria","2017","1.44",""
"Austria","2015","","4"
"Bangladesh","2016","1.35","5"
"Belarus","2018","0.71",""
"Belarus","2017","","3"
"Belgium","2017","0.43",""
"Belgium","2015","","4"
"Benin","2015","-5.2",""
"Bhutan","2017","1.63","3"
"Bolivia","2018","1.78",""
"Bolivia","2017","","2"
"Botswana","2015","0.42","6"
"Brazil","2018","-0.43",""
"Brazil","2015","","7"
"Bulgaria","2014","","8"
"Burkina Faso","2014","","9"
"Canada","2013","","10"
"Chile","2017","4.92","11"
"China","2016","8.38",""
"China","2015","","12"
"Colombia","2018","2.34",""
"Colombia","2017","","2"
"Costa Rica","2018","1.4",""
"Costa Rica","2017","","2"
"Croatia","2017","5.47",""
"Croatia","2015","","4"
"Cyprus","2017","0.29",""
"Cyprus","2015","","4"
"Czech Republic","2017","3.53",""
"Czech Republic","2015","","4"
"Denmark","2017","1.34",""
"Denmark","2015","","4"
"Dominican Republic","2016","5.19","13"
"Ecuador","2018","1.25",""
"Ecuador","2017","","2"
"Egypt","2017","-2.51",""
"Egypt","2015","","14"
"Egypt","2012","","15"
"El Salvador","2018","3.95",""
"El Salvador","2017","","2"
"Estonia","2017","7.98",""
"Estonia","2015","","4"
"Eswatini","2016","4.67",""
"Ethiopia","2015","0.35","16"
"Fiji","2013","","17"
"Finland","2017","0.58",""
"Finland","2015","","4"
"France","2017","0.61",""
"France","2015","","4"
"Georgia","2018","2.65",""
"Georgia","2017","","3"
"Germany","2016","-0.2",""
"Germany","2015","","4"
"Ghana","2016","-0.2","18"
"Greece","2017","1.8",""
"Greece","2015","","4"
"Honduras","2018","1.3",""
"Honduras","2017","","2"
"Hungary","2017","4.84",""
"Hungary","2015","","4"
"Iceland","2015","3.15",""
"Iceland","2014","","8"
"Indonesia","2018","5.06",""
"Indonesia","2017","","19"
"Iran","2017","-0.13",""
"Iran","2016","","20"
"Ireland","2016","3.43",""
"Ireland","2015","","4"
"Israel","2016","4.17",""
"Italy","2017","0.48",""
"Italy","2015","","4"
"Kazakhstan","2017","-0.02","3"
